127.0.0.1 - - [28/Oct/2023:00:20:49 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:20:50 -0300] "GET /agencia_crud/ HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:21:33 -0300] "GET /agencia_crud/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:21:40 -0300] "GET /agencia_crud/cadastro.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:21:43 -0300] "GET /agencia_crud/clientes.jsp HTTP/1.1" 200 2650
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:21:43 -0300] "GET /agencia_crud/icon/samurai.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:21:48 -0300] "GET /agencia_crud/cadastro.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:21:53 -0300] "POST /agencia_crud/CretaeControlle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:21:54 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3003
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:21:54 -0300] "GET /agencia_crud/icon/samurai.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:21:56 -0300] "GET /agencia_crud/cadastro.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:22:01 -0300] "POST /agencia_crud/CretaeControlle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:22:01 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3003
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:22:02 -0300] "GET /agencia_crud/icon/samurai.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:22:05 -0300] "GET /agencia_crud/cadastro.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:22:14 -0300] "POST /agencia_crud/CretaeControlle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:22:14 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3003
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:22:14 -0300] "GET /agencia_crud/icon/samurai.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:22:18 -0300] "GET /agencia_crud/DeleteControlle?id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:22:18 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:22:18 -0300] "GET /agencia_crud/icon/samurai.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:22:21 -0300] "GET /agencia_crud/UpdateController?id=5 HTTP/1.1" 200 3612
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:22:22 -0300] "GET /agencia_crud/icon/samurai.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:22:32 -0300] "GET /agencia_crud/index.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:28:30 -0300] "GET /agencia_crud/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:28:36 -0300] "GET /agencia_crud/clientes.jsp HTTP/1.1" 200 2650
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:28:36 -0300] "GET /agencia_crud/icon/samurai.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:28:37 -0300] "GET /agencia_crud/cadastro.jsp HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:28:40 -0300] "GET /agencia_crud/cadastro.jsp HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:28:40 -0300] "GET /agencia_crud/icon/samurai.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:28:54 -0300] "POST /agencia_crud/CretaeControlle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:28:54 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:28:54 -0300] "GET /agencia_crud/icon/samurai.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:29:11 -0300] "POST /agencia_crud/CretaeControlle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:29:11 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:29:11 -0300] "GET /agencia_crud/icon/samurai.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:29:28 -0300] "GET /agencia_crud/cadastro.jsp HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:29:28 -0300] "GET /agencia_crud/icon/samurai.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:29:41 -0300] "POST /agencia_crud/CretaeControlle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:29:41 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:29:41 -0300] "GET /agencia_crud/icon/samurai.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:30:06 -0300] "GET /agencia_crud/DeleteControlle?id=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:30:06 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3003
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:30:06 -0300] "GET /agencia_crud/icon/samurai.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:30:12 -0300] "GET /agencia_crud/UpdateController?id=6 HTTP/1.1" 200 3612
0:0:0:0:0:0:0:1 - - [28/Oct/2023:00:30:12 -0300] "GET /agencia_crud/icon/samurai.png HTTP/1.1" 404 800
