127.0.0.1 - - [06/Nov/2023:11:34:03 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:04 -0300] "GET /agencia_crud/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:05 -0300] "GET /agencia_crud/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:05 -0300] "GET /agencia_crud/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:05 -0300] "GET /agencia_crud/img/capa.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:06 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:15 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3107
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:16 -0300] "GET /agencia_crud/icon/favicon.ico HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:20 -0300] "GET /agencia_crud/cadastro.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:26 -0300] "GET /agencia_crud/DeleteControlle?id=16 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:26 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:29 -0300] "GET /agencia_crud/DeleteControlle?id=17 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:29 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3114
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:31 -0300] "GET /agencia_crud/DeleteControlle?id=18 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:31 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:31 -0300] "GET /agencia_crud/DeleteControlle?id=18 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:32 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:32 -0300] "GET /agencia_crud/DeleteControlle?id=18 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:32 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:32 -0300] "GET /agencia_crud/DeleteControlle?id=18 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:32 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:33 -0300] "GET /agencia_crud/DeleteControlle?id=19 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:33 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:34 -0300] "GET /agencia_crud/DeleteControlle?id=20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:11:34:34 -0300] "GET /agencia_crud/ReadController HTTP/1.1" 200 3084
